Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,0.88,58.0,0.64,1094.0,Treyarch,4.0
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,0.97,66.0,0.8300000000000001,2899.0,Rockstar North,4.0
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,0.86,57.0,0.8699999999999999,242.0,Nintendo,0.0
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,0.94,86.0,0.78,4100.0,"Bungie Software, Bungie",4.0
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,0.89,74.0,0.85,272.0,Polyphony Digital,0.0
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,0.97,73.0,0.89,2147.0,Nintendo,0.0
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,0.98,86.0,0.79,2951.0,Rockstar North,4.0
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,0.96,16.0,0.8699999999999999,138.0,Polyphony Digital,0.0
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,0.9,82.0,0.8400000000000001,921.0,Nintendo,0.0
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,0.84,82.0,0.75,1112.0,Polyphony Digital,0.0
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,0.94,67.0,0.63,2073.0,Infinity Ward,4.0
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,0.98,64.0,0.75,2833.0,Rockstar North,4.0
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,0.73,29.0,0.26,2117.0,Infinity Ward,4.0
Just Dance 3,Wii,2011.0,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,0.74,15.0,0.78,16.0,Ubisoft,2.0
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,0.78,70.0,0.72,424.0,Nintendo,0.0
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,0.91,99.0,0.79,2045.0,Bungie,4.0
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,0.92,20.0,0.9199999999999999,1282.0,SquareSoft,3.0
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,0.87,87.0,0.7,3260.0,343 Industries,4.0
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,0.93,23.0,0.9,135.0,Polyphony Digital,3.0
Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,0.74,24.0,0.73,24.0,Ubisoft,2.0
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,0.71,10.0,0.26,1047.0,Infinity Ward,4.0
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,0.94,70.0,0.8400000000000001,1320.0,Infinity Ward,4.0
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,0.88,70.0,0.8699999999999999,626.0,Nintendo,0.0
Mario Party DS,DS,2007.0,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,0.72,27.0,0.78,85.0,Hudson Soft,0.0
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,0.96,89.0,0.8400000000000001,3589.0,Bethesda Game Studios,4.0
FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,0.82,42.0,0.43,896.0,EA Sports,0.0
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,0.95,91.0,0.82,1218.0,Bungie Software,4.0
Wii Party,Wii,2010.0,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,0.68,42.0,0.74,54.0,Nd Cube,0.0
Mario Party 8,Wii,2007.0,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,0.62,41.0,0.63,190.0,Hudson,0.0
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,0.88,37.0,0.6599999999999999,348.0,Electronic Arts,0.0
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,0.92,53.0,0.8699999999999999,1056.0,SquareSoft,3.0
The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,0.86,75.0,0.76,886.0,The Sims Studio,3.0
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,0.9,24.0,0.86,644.0,SquareSoft,3.0
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,0.83,46.0,0.85,203.0,Game Freak,0.0
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,0.88,65.0,0.76,451.0,Rockstar Leeds,4.0
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,0.83,39.0,0.5700000000000001,1443.0,Sledgehammer Games,4.0
FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,0.85,41.0,0.5,398.0,"EA Sports, EA Vancouver",0.0
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,0.97,87.0,0.9099999999999999,1854.0,Nintendo EAD Tokyo,0.0
Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,0.84,84.0,0.76,580.0,Treyarch,4.0
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,0.84,57.0,0.74,2142.0,EA DICE,4.0
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,0.85,33.0,0.86,171.0,EA Black Box,0.0
Just Dance,Wii,2009.0,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,0.49,21.0,0.8,110.0,Ubisoft Paris,2.0
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,0.85,38.0,0.75,1761.0,EA DICE,4.0
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,0.87,58.0,0.65,4228.0,Bethesda Game Studios,4.0
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,0.96,15.0,0.9099999999999999,367.0,Namco,3.0
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,0.95,73.0,0.9,1658.0,Nintendo,3.0
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,0.91,12.0,0.89,432.0,Naughty Dog,0.0
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,0.88,82.0,0.9099999999999999,1599.0,Nintendo,0.0
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,0.92,38.0,0.9099999999999999,568.0,HAL Labs,3.0
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,0.82,39.0,0.86,132.0,EA Canada,0.0
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,0.88,29.0,0.85,135.0,EA LA,3.0
Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,0.74,10.0,0.73,28.0,Ubisoft,2.0
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,0.93,90.0,0.77,2739.0,Epic Games,4.0
Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,0.92,97.0,0.8300000000000001,3712.0,Naughty Dog,3.0
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,0.94,44.0,0.8400000000000001,993.0,Infinity Ward,4.0
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,0.96,105.0,0.8800000000000001,5187.0,Naughty Dog,3.0
Big Brain Academy,DS,2005.0,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,0.74,45.0,0.74,27.0,Nintendo,0.0
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,0.95,73.0,0.8800000000000001,2456.0,Rockstar San Diego,4.0
FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,0.86,37.0,0.43,576.0,EA Canada,0.0
Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,0.85,41.0,0.6900000000000001,1307.0,Ubisoft,4.0
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,0.87,77.0,0.86,368.0,Retro Studios,0.0
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,0.97,68.0,0.86,1283.0,Bungie Software,4.0
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,0.92,16.0,0.64,2527.0,Bethesda Game Studios,4.0
Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,0.76,28.0,0.9,222.0,Game Freak,0.0
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,0.85,46.0,0.8800000000000001,597.0,SquareSoft,0.0
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,0.83,94.0,0.71,1163.0,"Bungie Software, Bungie",4.0
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,0.95,96.0,0.9,2316.0,Rockstar San Diego,4.0
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,0.92,61.0,0.86,439.0,Nintendo,0.0
World of Warcraft,PC,2004.0,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,0.93,57.0,0.73,2182.0,Blizzard Entertainment,3.0
Driver,PS,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,0.87,22.0,0.8099999999999999,78.0,Reflections Interactive,3.0
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,0.91,96.0,0.78,1504.0,Epic Games,4.0
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,0.73,51.0,0.74,95.0,Rare Ltd.,2.0
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,0.94,88.0,0.8300000000000001,2295.0,Epic Games,4.0
FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,0.82,47.0,0.5700000000000001,988.0,EA Sports,0.0
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,0.96,42.0,0.8699999999999999,1026.0,KCEJ,4.0
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,0.94,20.0,0.9400000000000001,918.0,KCEJ,4.0
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,0.94,82.0,0.8699999999999999,3558.0,Kojima Productions,4.0
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,0.92,64.0,0.76,972.0,Square Enix,3.0
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,0.95,98.0,0.9099999999999999,8003.0,Naughty Dog,4.0
LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,0.95,85.0,0.6799999999999999,5311.0,"SCE/WWS, Media Molecule",0.0
Resident Evil 2,PS,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,0.89,13.0,0.9199999999999999,364.0,Capcom,4.0
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,0.87,65.0,0.8800000000000001,197.0,Level 5,2.0
Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,0.89,8.0,0.89,102.0,Namco,3.0
Destiny,PS4,2014.0,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,0.76,95.0,0.61,5380.0,"Bungie Software, Bungie",3.0
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,0.8,17.0,0.89,62.0,Traveller's Tales,2.0
Cooking Mama,DS,2006.0,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,0.67,35.0,0.72,21.0,Taito Corporation,0.0
Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,0.91,70.0,0.86,1202.0,Ubisoft Montreal,4.0
Assassin's Creed,X360,2007.0,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,0.81,77.0,0.77,1074.0,Ubisoft Montreal,4.0
Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,0.92,90.0,0.8,516.0,Turn 10,0.0
Super Mario Advance,GBA,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,0.84,19.0,0.78,41.0,Nintendo,0.0
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,0.81,48.0,0.8699999999999999,124.0,Capcom,3.0
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,0.96,42.0,0.86,2162.0,Rocksteady Studios,3.0
Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,0.97,14.0,0.79,764.0,Rockstar North,4.0
Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,0.93,24.0,0.8300000000000001,108.0,Intelligent Systems,0.0
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,0.66,22.0,0.71,156.0,Traveller's Tales,0.0
Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,0.85,45.0,0.76,409.0,Treyarch,4.0
Uncharted 4: A Thief's End,PS4,2016.0,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,0.93,113.0,0.79,7064.0,Naughty Dog,3.0
Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,0.83,83.0,0.73,2483.0,Square Enix,3.0
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,0.94,22.0,0.89,779.0,SquareSoft,3.0
Assassin's Creed III,X360,2012.0,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,0.84,61.0,0.67,1196.0,Ubisoft,4.0
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,0.85,45.0,0.6599999999999999,400.0,SquareSoft,3.0
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,0.81,53.0,0.54,898.0,Sledgehammer Games,4.0
Assassin's Creed II,X360,2009.0,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,0.9,82.0,0.8800000000000001,1305.0,Ubisoft Montreal,4.0
Madden NFL 2004,PS2,2003.0,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,0.94,29.0,0.85,140.0,EA Tiburon,0.0
New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,0.84,70.0,0.8099999999999999,733.0,Nintendo,0.0
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,0.89,63.0,0.8800000000000001,245.0,Level 5,3.0
Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,0.85,72.0,0.86,147.0,Level 5,0.0
FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,0.9,48.0,0.61,403.0,Electronic Arts,0.0
Diablo III,PC,2012.0,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14,0.88,86.0,0.4,9629.0,Blizzard Entertainment,4.0
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,0.68,30.0,0.76,100.0,EA LA,3.0
Guitar Hero II,PS2,2006.0,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,0.92,69.0,0.85,112.0,Harmonix Music Systems,3.0
Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,0.8,88.0,0.65,604.0,Lionhead Studios,4.0
Resident Evil 5,PS3,2009.0,Action,Capcom,1.96,1.41,1.08,0.64,5.09,0.84,76.0,0.75,667.0,Capcom,4.0
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,0.9,57.0,0.8,416.0,Nintendo,0.0
FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,0.89,51.0,0.8,233.0,EA Sports,0.0
Resident Evil,PS,1996.0,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,0.91,8.0,0.9,266.0,Capcom,4.0
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,0.86,50.0,0.8,150.0,Rockstar Leeds,4.0
Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision,3.42,1.38,0.02,0.2,5.02,0.92,18.0,0.9199999999999999,69.0,Neversoft Entertainment,3.0
Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,3.49,0.01,0.01,1.48,4.98,0.82,24.0,0.82,46.0,"Neversoft Entertainment, BudCat",3.0
Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,0.68,34.0,0.71,47.0,Nintendo,3.0
Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,0.93,84.0,0.85,1655.0,Bethesda Game Studios,4.0
Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,0.88,66.0,0.8099999999999999,2306.0,"Naughty Dog, SCE/WWS",3.0
Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,0.88,29.0,0.8,121.0,EA Sports,0.0
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,2.57,1.68,0.0,0.58,4.84,0.93,82.0,0.82,3052.0,Blizzard Entertainment,3.0
Assassin's Creed,PS3,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,0.81,40.0,0.73,769.0,Ubisoft Montreal,4.0
God of War III,PS3,2010.0,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,0.92,101.0,0.8699999999999999,2633.0,SCE Santa Monica,4.0
Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,0.88,20.0,0.9,233.0,Naughty Dog,0.0
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,2.83,1.48,0.0,0.45,4.76,0.8,9.0,0.54,46.0,TT Fusion,0.0
Driver 2,PS,2000.0,Action,Atari,2.36,2.1,0.02,0.25,4.73,0.62,14.0,0.77,92.0,Reflections Interactive,3.0
Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,0.94,87.0,0.8699999999999999,1472.0,Rocksteady Studios,3.0
Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,3.05,1.41,0.02,0.2,4.68,0.98,19.0,0.77,299.0,Neversoft Entertainment,3.0
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,0.82,32.0,0.82,78.0,Stormfront Studios,3.0
Tomb Raider,PS,1996.0,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,0.91,13.0,0.86,147.0,Core Design Ltd.,3.0
Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,0.73,50.0,0.76,119.0,Nintendo,0.0
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,0.86,78.0,0.8099999999999999,1264.0,Bluepoint Games,3.0
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,0.96,80.0,0.89,968.0,Nintendo,0.0
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,3.04,1.11,0.0,0.43,4.6,0.86,36.0,0.8400000000000001,87.0,Vicarious Visions,3.0
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,1.8,1.39,1.11,0.29,4.59,0.86,74.0,0.8400000000000001,458.0,Next Level Games,0.0
Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,0.91,83.0,0.82,617.0,Turn 10,0.0
Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,0.91,30.0,0.79,78.0,EA Tiburon,0.0
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,3.19,0.91,0.01,0.42,4.53,0.85,69.0,0.79,165.0,Neversoft Entertainment,3.0
